,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
J,0,"[(7, 1), (7, 1), (4, 1), (4, 1), (4, 1), (4, 1), (2, 2)]","[1, 1, 1, 1, 1, 1]",34,1475.76,0.803
J_det,0,"[7, 7, 4, 4]","[1, 1, 1]",22,35.64,1.615
R,0,"[7, 7, 4, 4, 4, 4]","[5, 25, 20, 16, 4]",4462,2.81,1.963
dR,0,"[7, 7, 4, 4, 4, 4, 2]","[5, 25, 35, 24, 7, 2]",8502,2.95,1.963
J_detRT,0,"[(7, 1), (7, 1), (4, 1), (4, 1), (1, 4), (1, 4)]","[5, 25, 20, 16, 4]",4462,2.81,2.026
JdR,0,"[7, 7, 4, 4, 4, 4, 2]","[5, 25, 35, 24, 7, 2]",8502,2.95,2.038
Intg_int,0,"[(10, 10), (10, 10)]",[1],200,50.0,2.535
Intg_str,0,"[(10, 10), (10, 10), (2, 1)]","[2, 2]",604,33.11,2.535
H,0,"[(4, 1), (16, 1), (16, 1), (2, 1), (1, 1), (10, 10), (10, 10)]","[3, 3, 3, 3, 3, 5]",2327,8801.03,2.537
S,0,"[(4, 4), (16, 16), (16, 16), (2, 2), (1, 1), (10, 10), (10, 10)]","[1, 1, 1, 1, 1, 1]",733,57221064.12,2.539
F,0,"[(4, 4), (16, 16), (16, 16), (2, 2), (1, 1), (10, 10), (10, 10)]","[1, 1, 1, 1, 1, 1]",733,57221064.12,2.541
Jx_det_in,0,"[2, 7, 4]","[1, 1]",13,4.31,2.76
Jy_det_in,0,"[2, 7, 4]","[1, 1]",13,4.31,2.76
Rx_in,0,"[2, 7, 4, 4, 4]","[1, 1, 1, 1]",21,42.67,2.76
Ry_in,0,"[2, 7, 4, 4, 4]","[1, 1, 1, 1]",21,42.67,2.76
Ox_in,0,"[4, 16, 16, 2, 7, 4]","[1, 1, 1, 1, 1]",49,1170.29,2.76
Oy_in,0,"[4, 16, 16, 2, 7, 4]","[1, 1, 1, 1, 1]",49,1170.29,2.76
ORx_in,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1]",57,16096.56,2.77
ORy_in,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1]",57,16096.56,2.77
ORJx_det_in,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1]",57,16096.56,2.78
ORJy_det_in,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1]",57,16096.56,2.78
Intg_bound_in,0,"[(1, 1), (4, 4), (16, 1), (16, 1), (10, 10), (10, 10)]","[1, 1, 1, 1, 1]",249,164497.99,5.572
H_bound_in,0,"[(4, 4), (16, 1), (16, 1), (2, 2), (1, 1), (10, 10), (10, 10)]","[1, 1, 1, 1, 1, 1]",253,647588.93,5.574
B_in,0,"[(4, 4), (16, 16), (16, 16), (2, 2), (1, 1), (10, 10), (10, 10)]","[1, 1, 1, 1, 1, 1]",733,57221064.12,5.574
Jx_det_out,0,"[2, 7, 4]","[1, 1]",13,4.31,5.596
Jy_det_out,0,"[2, 7, 4]","[1, 1]",13,4.31,5.596
Rx_out,0,"[2, 7, 4, 4, 4]","[2, 10, 8, 2]",536,1.67,5.628
Ry_out,0,"[2, 7, 4, 4, 4]","[2, 10, 8, 4]",608,1.47,5.628
Ox_out,0,"[4, 16, 16, 2, 7, 4]","[2, 2, 2, 1, 1]",151,379.76,5.828
Oy_out,0,"[4, 16, 16, 2, 7, 4]","[2, 2, 2, 1, 1]",151,379.76,5.829
ORx_out,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[2, 2, 2, 2, 10, 8, 2]",676,1357.25,5.841
ORy_out,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[2, 2, 2, 2, 10, 8, 4]",748,1226.61,5.841
ORJx_det_out,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[2, 2, 2, 2, 10, 8, 2]",676,1357.25,5.854
ORJy_det_out,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[2, 2, 2, 2, 10, 8, 4]",748,1226.61,5.854
Intg_bound_out,0,"[(4, 1), (16, 1), (16, 1), (10, 10), (10, 10)]","[3, 4, 4, 3]",1960,5224.49,6.155
H_bound_out,0,"[(4, 1), (16, 1), (16, 1), (2, 1), (1, 1), (10, 10), (10, 10)]","[3, 4, 4, 4, 4, 3]",2008,10199.2,6.159
B_out,0,"[(4, 1), (16, 1), (16, 1), (2, 1), (1, 1), (10, 10), (10, 10)]","[3, 4, 4, 4, 4, 3]",2008,10199.2,6.159
H,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (10, 10), (10, 10)]","[3, 3, 3, 3, 2]",5492,7637115.8,6.174
S,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (10, 10), (10, 10)]","[1, 1, 1, 1, 1]",732,57299234.97,6.174
F,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (10, 10), (10, 10)]","[1, 1, 1, 1, 1]",732,57299234.97,6.174
B_in,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (10, 10), (10, 10)]","[1, 1, 1, 1, 1]",732,57299234.97,6.174
B_out,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (10, 10), (10, 10)]","[3, 4, 4, 4, 3]",8780,4777111.62,6.174
