,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
J,0,"[(3, 1), (9, 1), (4, 1), (4, 1), (4, 1), (4, 1), (2, 2)]","[1, 1, 1, 1, 1, 1]",32,864.0,0.475
J_det,0,"[3, 9, 4, 4]","[1, 1, 1]",20,21.6,0.923
R,0,"[3, 9, 4, 4, 4, 4]","[3, 15, 12, 16, 4]",2174,3.18,1.102
dR,0,"[3, 9, 4, 4, 4, 4, 2]","[3, 15, 21, 24, 7, 2]",4422,3.13,1.102
J_detRT,0,"[(3, 1), (9, 1), (4, 1), (4, 1), (1, 4), (1, 4)]","[3, 15, 12, 16, 4]",2174,3.18,1.115
JdR,0,"[3, 9, 4, 4, 4, 4, 2]","[3, 15, 21, 24, 7, 2]",4422,3.13,1.134
Intg_int,0,"[(6, 6), (12, 12)]",[1],180,28.8,1.475
Intg_str,0,"[(6, 6), (12, 12), (2, 1)]","[2, 2]",652,15.9,1.475
H,0,"[(4, 1), (16, 1), (16, 1), (2, 1), (1, 1), (6, 6), (12, 12)]","[3, 3, 3, 3, 3, 5]",1587,6689.88,1.476
S,0,"[(4, 4), (16, 16), (16, 16), (2, 2), (1, 1), (6, 6), (12, 12)]","[1, 1, 1, 1, 1, 1]",713,30495472.56,1.477
F,0,"[(4, 4), (16, 16), (16, 16), (2, 2), (1, 1), (6, 6), (12, 12)]","[1, 1, 1, 1, 1, 1]",713,30495472.56,1.478
Jx_det_in,0,"[2, 3, 4]","[1, 1]",9,2.67,1.672
Jy_det_in,0,"[2, 9, 4]","[1, 1]",15,4.8,1.672
Rx_in,0,"[2, 3, 4, 4, 4]","[1, 1, 1, 1]",17,22.59,1.672
Ry_in,0,"[2, 9, 4, 4, 4]","[2, 10, 8, 4]",648,1.78,1.672
Ox_in,0,"[4, 16, 16, 2, 9, 4]","[2, 2, 2, 1, 1]",153,481.88,1.672
Oy_in,0,"[4, 16, 16, 2, 9, 4]","[2, 2, 2, 1, 1]",153,481.88,1.672
ORx_in,0,"[4, 16, 16, 2, 3, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1]",53,7419.17,1.683
ORy_in,0,"[4, 16, 16, 2, 9, 4, 4, 4]","[2, 2, 2, 2, 10, 8, 4]",788,1497.02,1.684
ORJx_det_in,0,"[4, 16, 16, 2, 3, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1]",53,7419.17,1.694
ORJy_det_in,0,"[4, 16, 16, 2, 9, 4, 4, 4]","[2, 2, 2, 2, 10, 8, 4]",788,1497.02,1.694
Intg_bound_in,0,"[(1, 1), (4, 4), (16, 1), (16, 1), (6, 6), (12, 12)]","[1, 2, 2, 2, 1]",377,56322.72,3.216
H_bound_in,0,"[(4, 4), (16, 1), (16, 1), (2, 2), (1, 1), (6, 6), (12, 12)]","[2, 2, 2, 2, 2, 1]",396,214481.45,3.218
B_in,0,"[(4, 4), (16, 16), (16, 16), (2, 2), (1, 1), (6, 6), (12, 12)]","[2, 2, 2, 2, 2, 1]",2316,9388286.67,3.218
Jx_det_out,0,"[2, 3, 4]","[1, 1]",9,2.67,3.236
Jy_det_out,0,"[2, 9, 4]","[1, 1]",15,4.8,3.236
Rx_out,0,"[2, 3, 4, 4, 4]","[2, 6, 8, 2]",304,1.26,3.262
Ry_out,0,"[2, 9, 4, 4, 4]","[2, 10, 8, 4]",648,1.78,3.262
Ox_out,0,"[4, 16, 16, 2, 9, 4]","[2, 2, 2, 1, 1]",153,481.88,3.412
Oy_out,0,"[4, 16, 16, 2, 9, 4]","[2, 2, 2, 1, 1]",153,481.88,3.412
ORx_out,0,"[4, 16, 16, 2, 3, 4, 4, 4]","[2, 2, 2, 2, 6, 8, 2]",444,885.62,3.425
ORy_out,0,"[4, 16, 16, 2, 9, 4, 4, 4]","[2, 2, 2, 2, 10, 8, 4]",788,1497.02,3.425
ORJx_det_out,0,"[4, 16, 16, 2, 3, 4, 4, 4]","[2, 2, 2, 2, 6, 8, 2]",444,885.62,3.437
ORJy_det_out,0,"[4, 16, 16, 2, 9, 4, 4, 4]","[2, 2, 2, 2, 10, 8, 4]",788,1497.02,3.437
Intg_bound_out,0,"[(4, 1), (16, 1), (16, 1), (6, 6), (12, 12)]","[3, 4, 4, 3]",1324,4009.38,3.66
H_bound_out,0,"[(4, 1), (16, 1), (16, 1), (2, 1), (1, 1), (6, 6), (12, 12)]","[3, 4, 4, 4, 4, 3]",1372,7738.22,3.664
B_out,0,"[(4, 1), (16, 1), (16, 1), (2, 1), (1, 1), (6, 6), (12, 12)]","[3, 4, 4, 4, 4, 3]",1372,7738.22,3.664
H,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (6, 6), (12, 12)]","[3, 3, 3, 3, 2]",5196,4184617.39,3.672
S,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (6, 6), (12, 12)]","[1, 1, 1, 1, 1]",712,30538303.28,3.672
F,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (6, 6), (12, 12)]","[1, 1, 1, 1, 1]",712,30538303.28,3.672
B_in,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (6, 6), (12, 12)]","[2, 2, 2, 2, 1]",2312,9404529.38,3.672
B_out,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (6, 6), (12, 12)]","[3, 4, 4, 4, 3]",8144,2669851.66,3.672
