,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
J,0,"[(5, 1), (7, 1), (4, 1), (4, 1), (4, 1), (4, 1), (2, 2)]","[1, 1, 1, 1, 1, 1]",32,1120.0,0.504
J_det,0,"[5, 7, 4, 4]","[1, 1, 1]",20,28.0,1.039
R,0,"[5, 7, 4, 4, 4, 4]","[5, 25, 20, 16, 4]",4452,2.01,1.241
dR,0,"[5, 7, 4, 4, 4, 4, 2]","[5, 25, 35, 24, 7, 2]",8492,2.11,1.241
J_detRT,0,"[(5, 1), (7, 1), (4, 1), (4, 1), (1, 4), (1, 4)]","[5, 25, 20, 16, 4]",4452,2.01,1.247
JdR,0,"[5, 7, 4, 4, 4, 4, 2]","[5, 25, 35, 24, 7, 2]",8492,2.11,1.256
Intg_int,0,"[(8, 8), (10, 10)]",[1],164,39.02,1.649
Intg_str,0,"[(8, 8), (10, 10), (2, 1)]","[2, 2]",532,24.06,1.65
H,0,"[(4, 1), (16, 1), (16, 1), (2, 1), (1, 1), (8, 8), (10, 10)]","[3, 3, 3, 3, 3, 5]",1787,7334.75,1.651
S,0,"[(4, 4), (16, 16), (16, 16), (2, 2), (1, 1), (8, 8), (10, 10)]","[3, 3, 2, 1, 1, 1]",4061,6610082.64,1.653
F,0,"[(4, 4), (16, 16), (16, 16), (2, 2), (1, 1), (8, 8), (10, 10)]","[1, 1, 1, 1, 1, 1]",697,38512977.91,1.655
Jx_det_in,0,"[2, 5, 4]","[1, 1]",11,3.64,1.838
Jy_det_in,0,"[2, 7, 4]","[1, 1]",13,4.31,1.839
Rx_in,0,"[2, 5, 4, 4, 4]","[1, 5, 4, 1]",127,5.04,1.839
Ry_in,0,"[2, 7, 4, 4, 4]","[2, 10, 8, 4]",608,1.47,1.839
Ox_in,0,"[4, 16, 16, 2, 7, 4]","[2, 2, 2, 1, 1]",151,379.76,1.839
Oy_in,0,"[4, 16, 16, 2, 7, 4]","[2, 2, 2, 1, 1]",151,379.76,1.839
ORx_in,0,"[4, 16, 16, 2, 5, 4, 4, 4]","[1, 1, 1, 1, 5, 4, 1]",163,4020.61,1.851
ORy_in,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[2, 2, 2, 2, 10, 8, 4]",748,1226.61,1.851
ORJx_det_in,0,"[4, 16, 16, 2, 5, 4, 4, 4]","[1, 1, 1, 1, 5, 4, 1]",163,4020.61,1.863
ORJy_det_in,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[2, 2, 2, 2, 10, 8, 4]",748,1226.61,1.863
Intg_bound_in,0,"[(1, 1), (4, 4), (16, 1), (16, 1), (8, 8), (10, 10)]","[1, 3, 3, 3, 2]",921,28462.98,2.104
H_bound_in,0,"[(4, 4), (16, 1), (16, 1), (2, 2), (1, 1), (8, 8), (10, 10)]","[3, 3, 3, 3, 3, 2]",965,108660.73,2.106
B_in,0,"[(4, 4), (16, 16), (16, 16), (2, 2), (1, 1), (8, 8), (10, 10)]","[3, 3, 3, 3, 3, 2]",5285,5079195.0,2.106
Jx_det_out,0,"[2, 5, 4]","[1, 1]",11,3.64,2.126
Jy_det_out,0,"[2, 7, 4]","[1, 1]",13,4.31,2.126
Rx_out,0,"[2, 5, 4, 4, 4]","[2, 10, 8, 2]",496,1.29,2.151
Ry_out,0,"[2, 7, 4, 4, 4]","[2, 10, 8, 4]",608,1.47,2.151
Ox_out,0,"[4, 16, 16, 2, 7, 4]","[2, 2, 2, 1, 1]",151,379.76,2.312
Oy_out,0,"[4, 16, 16, 2, 7, 4]","[2, 2, 2, 1, 1]",151,379.76,2.312
ORx_out,0,"[4, 16, 16, 2, 5, 4, 4, 4]","[2, 2, 2, 2, 10, 8, 2]",636,1030.44,2.323
ORy_out,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[2, 2, 2, 2, 10, 8, 4]",748,1226.61,2.323
ORJx_det_out,0,"[4, 16, 16, 2, 5, 4, 4, 4]","[2, 2, 2, 2, 10, 8, 2]",636,1030.44,2.335
ORJy_det_out,0,"[4, 16, 16, 2, 7, 4, 4, 4]","[2, 2, 2, 2, 10, 8, 4]",748,1226.61,2.335
Intg_bound_out,0,"[(4, 1), (16, 1), (16, 1), (8, 8), (10, 10)]","[3, 4, 4, 3]",1528,4289.01,2.589
H_bound_out,0,"[(4, 1), (16, 1), (16, 1), (2, 1), (1, 1), (8, 8), (10, 10)]","[3, 4, 4, 4, 4, 3]",1576,8316.75,2.591
B_out,0,"[(4, 1), (16, 1), (16, 1), (2, 1), (1, 1), (8, 8), (10, 10)]","[3, 4, 4, 4, 4, 3]",1576,8316.75,2.591
H,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (8, 8), (10, 10)]","[3, 3, 3, 3, 2]",5276,5087859.29,2.598
S,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (8, 8), (10, 10)]","[3, 3, 2, 1, 1]",4060,6611710.74,2.598
F,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (8, 8), (10, 10)]","[1, 1, 1, 1, 1]",696,38568312.64,2.598
B_in,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (8, 8), (10, 10)]","[3, 3, 3, 3, 2]",5276,5087859.29,2.598
B_out,-1,"[(4, 4), (16, 16), (16, 16), (2, 2), (8, 8), (10, 10)]","[3, 4, 4, 4, 3]",8348,3215566.08,2.598
